ensemble_orig,zdb_id,ensembl,ncbi_id
ENSDARG00000088298,ZDB-GENE-131126-23,ENSDARG00000088298,undef
ENSDARG00000075445,ZDB-GENE-990415-215,ENSDARG00000075445,30387
ENSDARG00000097839,ZDB-GENE-131120-95,ENSDARG00000097839,103909096
ENSDARG00000096971,ZDB-GENE-131127-460,ENSDARG00000096971,undef
ENSDARG00000110064,ZDB-GENE-030131-1699,ENSDARG00000003269,559340
ENSDARG00000071086,ZDB-GENE-110815-2,ENSDARG00000071086,100005567
ENSDARG00000070461,ZDB-GENE-060929-922,ENSDARG00000070461,767755
ENSDARG00000042839,ZDB-GENE-050227-15,ENSDARG00000042839,503603
ENSDARG00000116759,undef,ENSDARG00000116759,undef
ENSDARG00000089833,ZDB-GENE-091118-116,ENSDARG00000089833,556808
ENSDARG00000058270,ZDB-GENE-070424-114,ENSDARG00000058270,567859
ENSDARG00000014230,ZDB-GENE-030326-1,ENSDARG00000014230,368262
ENSDARG00000044812,ZDB-GENE-100422-15,ENSDARG00000044812,569538
ENSDARG00000063594,ZDB-GENE-081031-101,ENSDARG00000063594,572042
ENSDARG00000076496,ZDB-GENE-100921-74,ENSDARG00000076496,100329900
ENSDARG00000104817,ZDB-GENE-040426-1732,ENSDARG00000104817,393736
ENSDARG00000056008,ZDB-GENE-040426-1966,ENSDARG00000056008,406301
ENSDARG00000112964,ZDB-GENE-030131-497,ENSDARG00000074498,572355
ENSDARG00000105473,ZDB-GENE-160113-146,ENSDARG00000105473,563900
ENSDARG00000014623,ZDB-GENE-050208-355,ENSDARG00000014623,557566
ENSDARG00000100440,ZDB-GENE-050208-273,ENSDARG00000100440,100003734
ENSDARG00000087290,ZDB-GENE-110914-121,ENSDARG00000087290,100002322
ENSDARG00000061372,ZDB-GENE-061013-463,ENSDARG00000061372,768247
ENSDARG00000110831,undef,ENSDARG00000110831,undef
ENSDARG00000101406,ZDB-GENE-031018-2,ENSDARG00000101406,335629
ENSDARG00000011934,ZDB-GENE-040426-2910,ENSDARG00000011934,406831
ENSDARG00000111084,undef,ENSDARG00000111084,undef
ENSDARG00000038615,ZDB-GENE-051113-312,ENSDARG00000038615,556136
ENSDARG00000028786,ZDB-GENE-081022-13,ENSDARG00000028786,407076
ENSDARG00000077567,ZDB-GENE-111020-12,ENSDARG00000077567,569547
ENSDARG00000102367,ZDB-GENE-040718-207,ENSDARG00000102367,436776
ENSDARG00000086645,ZDB-GENE-070202-5,ENSDARG00000086645,558084
ENSDARG00000009106,ZDB-GENE-030131-4415,ENSDARG00000009106,325690
ENSDARG00000088411,ZDB-GENE-120215-77,ENSDARG00000088411,566040
ENSDARG00000101126,ZDB-GENE-030131-338,ENSDARG00000101126,321619
ENSDARG00000011170,ZDB-GENE-041212-15,ENSDARG00000011170,494050
ENSDARG00000037613,ZDB-GENE-120727-7,ENSDARG00000037613,100334749
ENSDARG00000008966,ZDB-GENE-040426-1192,ENSDARG00000008966,393581
ENSDARG00000045248,ZDB-GENE-040426-1023,ENSDARG00000045248,394076
ENSDARG00000116988,undef,ENSDARG00000116988,undef
ENSDARG00000090844,undef,ENSDARG00000090844,undef
ENSDARG00000036944,ZDB-GENE-060503-181,ENSDARG00000036944,569530
ENSDARG00000112220,undef,ENSDARG00000112220,undef
ENSDARG00000074572,ZDB-GENE-040426-2698,ENSDARG00000074572,406683
ENSDARG00000057374,ZDB-GENE-070112-2092,ENSDARG00000057374,791182
ENSDARG00000030139,ZDB-GENE-040822-17,ENSDARG00000030139,445500
ENSDARG00000103195,ZDB-GENE-090121-1,ENSDARG00000103195,561612
ENSDARG00000055912,ZDB-GENE-040426-2134,ENSDARG00000055912,406399
ENSDARG00000100264,ZDB-GENE-040426-1805,ENSDARG00000100264,402955
ENSDARG00000061233,ZDB-GENE-050517-17,ENSDARG00000061233,336147
ENSDARG00000104839,ZDB-GENE-070209-77,ENSDARG00000104839,100009658
ENSDARG00000007737,ZDB-GENE-041014-17,ENSDARG00000007737,555349
ENSDARG00000075565,ZDB-GENE-081104-431,ENSDARG00000075565,undef
ENSDARG00000112924,ZDB-GENE-030131-7848,ENSDARG00000043334,335905
ENSDARG00000096375,ZDB-GENE-080204-121,ENSDARG00000057772,100136862
ENSDARG00000040643,ZDB-GENE-040718-424,ENSDARG00000040643,436948
ENSDARG00000117093,ZDB-GENE-080721-1,ENSDARG00000117093,567731
ENSDARG00000116883,undef,ENSDARG00000116883,undef
ENSDARG00000055027,ZDB-GENE-070112-1002,ENSDARG00000055027,563878
ENSDARG00000104372,ZDB-GENE-040426-2855,ENSDARG00000104372,406796
ENSDARG00000061365,ZDB-GENE-060503-135,ENSDARG00000061365,558612
ENSDARG00000051888,ZDB-GENE-030131-179,ENSDARG00000051888,321460
ENSDARG00000059424,ZDB-GENE-060526-65,ENSDARG00000059424,undef
ENSDARG00000017199,ZDB-GENE-060503-525,ENSDARG00000017199,560338
ENSDARG00000043410,ZDB-GENE-040724-153,ENSDARG00000043410,792104
ENSDARG00000035538,ZDB-GENE-091113-4,ENSDARG00000035538,561469
ENSDARG00000076632,ZDB-GENE-081104-40,ENSDARG00000076632,100332332
ENSDARG00000101760,ZDB-GENE-110913-76,ENSDARG00000101760,undef
ENSDARG00000029838,ZDB-GENE-160113-14,ENSDARG00000029838,undef
ENSDARG00000070995,ZDB-GENE-081104-521,ENSDARG00000070995,792527
ENSDARG00000098284,ZDB-GENE-131127-209,ENSDARG00000098284,108181225
ENSDARG00000078736,ZDB-GENE-091118-107,ENSDARG00000078736,undef
ENSDARG00000075798,ZDB-GENE-101007-2,ENSDARG00000075798,563778
ENSDARG00000104836,ZDB-GENE-080416-2,ENSDARG00000104836,100144770
ENSDARG00000101422,ZDB-GENE-131121-613,ENSDARG00000101422,100148903
ENSDARG00000037017,ZDB-GENE-020205-1,ENSDARG00000037017,170784
ENSDARG00000043334,ZDB-GENE-030131-7848,ENSDARG00000043334,335905
ENSDARG00000098451,ZDB-GENE-090402-1,ENSDARG00000098451,571836
