Ensembl ID,Gene,Description,Biotype,log2 FC,T Statistic,p-value,FDR-corrected p-value,DE_Direction,zdb_id,ensembl_new,ncbi_id
ENSDARG00000088298,si:ch211-235i11.4,si:ch211-235i11.4 [Source:ZFIN;Acc:ZDB-GENE-131126-23],protein_coding,0.565421905,5.639318396,5.96827e-06,0.000845496,1,ZDB-GENE-131126-23,ENSDARG00000088298,undef
ENSDARG00000075445,psmb5,proteasome subunit beta 5 [Source:ZFIN;Acc:ZDB-GENE-990415-215],protein_coding,-0.279137808,-5.3512166489999995,1.27569e-05,0.001370885,-1,ZDB-GENE-990415-215,ENSDARG00000075445,30387
ENSDARG00000097839,si:ch211-235i11.6,si:ch211-235i11.6 [Source:ZFIN;Acc:ZDB-GENE-131120-95],protein_coding,1.022187572,5.070552848,2.6841100000000003e-05,0.00224651,1,ZDB-GENE-131120-95,ENSDARG00000097839,103909096
ENSDARG00000096971,si:dkey-206p8.1,si:dkey-206p8.1 [Source:ZFIN;Acc:ZDB-GENE-131127-460],protein_coding,0.558439738,4.821016454,5.2094399999999994e-05,0.003515704,1,ZDB-GENE-131127-460,ENSDARG00000096971,undef
ENSDARG00000110064,clcn3,chloride channel 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1699],protein_coding,-1.367364737,-4.804091074,5.99207e-05,0.003851639,-1,ZDB-GENE-030131-1699,ENSDARG00000003269,559340
ENSDARG00000071086,gpr155b,G protein-coupled receptor 155b [Source:ZFIN;Acc:ZDB-GENE-110815-2],protein_coding,-0.44706816200000005,-4.762496185,6.08646e-05,0.003898192,-1,ZDB-GENE-110815-2,ENSDARG00000071086,100005567
ENSDARG00000070461,zgc:154061,zgc:154061 [Source:ZFIN;Acc:ZDB-GENE-060929-922],protein_coding,0.762774765,4.731002398999999,6.61803e-05,0.004110955,1,ZDB-GENE-060929-922,ENSDARG00000070461,767755
ENSDARG00000042839,dph6,diphthamine biosynthesis 6 [Source:ZFIN;Acc:ZDB-GENE-050227-15],protein_coding,-0.6811083609999999,-4.685689058,7.46526e-05,0.0044599620000000005,-1,ZDB-GENE-050227-15,ENSDARG00000042839,503603
ENSDARG00000116759,CABZ01053323.1, ,protein_coding,0.617488492,4.574972075,0.000100189,0.005443494,1,undef,ENSDARG00000116759,undef
ENSDARG00000089833,asb13b,ankyrin repeat and SOCS box containing 13b [Source:ZFIN;Acc:ZDB-GENE-091118-116],protein_coding,-0.39251522,-4.521177643,0.000115575,0.005963797,-1,ZDB-GENE-091118-116,ENSDARG00000089833,556808
ENSDARG00000058270,COLGALT1,si:ch211-114l13.7 [Source:ZFIN;Acc:ZDB-GENE-070424-114],protein_coding,0.520160074,4.519562416,0.00011611299999999999,0.005980276999999999,1,ZDB-GENE-070424-114,ENSDARG00000058270,567859
ENSDARG00000014230,dlst,dihydrolipoamide S-succinyltransferase [Source:ZFIN;Acc:ZDB-GENE-030326-1],protein_coding,-0.38126693700000003,-4.438794756,0.000143814,0.006851788,-1,ZDB-GENE-030326-1,ENSDARG00000014230,368262
ENSDARG00000044812,ttc17,tetratricopeptide repeat domain 17 [Source:ZFIN;Acc:ZDB-GENE-100422-15],protein_coding,-0.251336507,-4.438714244,0.000143844,0.0068519209999999995,-1,ZDB-GENE-100422-15,ENSDARG00000044812,569538
ENSDARG00000063594,hipk1a,homeodomain interacting protein kinase 1a [Source:ZFIN;Acc:ZDB-GENE-081031-101],protein_coding,0.5961591829999999,4.416231788999999,0.00015268,0.00710792,1,ZDB-GENE-081031-101,ENSDARG00000063594,572042
ENSDARG00000076496,frmd4bb,FERM domain containing 4Bb [Source:ZFIN;Acc:ZDB-GENE-100921-74],protein_coding,0.314755458,4.367944559,0.000173522,0.007718661999999999,1,ZDB-GENE-100921-74,ENSDARG00000076496,100329900
ENSDARG00000104817,pyroxd1,pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1732],protein_coding,0.499878198,4.308324732,0.00020319,0.008583936,1,ZDB-GENE-040426-1732,ENSDARG00000104817,393736
ENSDARG00000056008,atp5mc1,ATP synthase membrane subunit c locus 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1966],protein_coding,-0.43935763,-4.287624168,0.000214843,0.008891706999999999,-1,ZDB-GENE-040426-1966,ENSDARG00000056008,406301
ENSDARG00000112964,chd9,chromodomain helicase DNA binding protein 9 [Source:ZFIN;Acc:ZDB-GENE-030131-497],protein_coding,-0.325041176,-4.266203033,0.000227133,0.00921769,-1,ZDB-GENE-030131-497,ENSDARG00000074498,572355
ENSDARG00000105473,si:cabz01036006.1,si:cabz01036006.1 [Source:ZFIN;Acc:ZDB-GENE-160113-146],protein_coding,0.46806704,4.263032186,0.00022904400000000002,0.009264622,1,ZDB-GENE-160113-146,ENSDARG00000105473,563900
ENSDARG00000014623,si:ch211-212d10.1,si:ch211-212d10.1 [Source:ZFIN;Acc:ZDB-GENE-050208-355],protein_coding,1.026197442,4.261018925,0.000230266,0.009289548,1,ZDB-GENE-050208-355,ENSDARG00000014623,557566
ENSDARG00000100440,fastkd3,FAST kinase domains 3 [Source:ZFIN;Acc:ZDB-GENE-050208-273],protein_coding,-0.39049196,-4.231505243,0.00024894,0.009772943000000001,-1,ZDB-GENE-050208-273,ENSDARG00000100440,100003734
ENSDARG00000087290,si:ch211-202h22.10,si:ch211-202h22.10 [Source:ZFIN;Acc:ZDB-GENE-110914-121],protein_coding,4.64012046,4.222418939,0.000254985,0.009913039,1,ZDB-GENE-110914-121,ENSDARG00000087290,100002322
ENSDARG00000061372,cog7,component of oligomeric golgi complex 7 [Source:ZFIN;Acc:ZDB-GENE-061013-463],protein_coding,-0.274446849,-4.222007057,0.000255263,0.009916453,-1,ZDB-GENE-061013-463,ENSDARG00000061372,768247
ENSDARG00000110831,BX649360.1, ,protein_coding,-0.8556938959999999,-4.207370646,0.000265319,0.010174246,-1,undef,ENSDARG00000110831,undef
ENSDARG00000101406,rplp2,"ribosomal protein, large P2 [Source:ZFIN;Acc:ZDB-GENE-031018-2]",protein_coding,0.265770305,4.207167221000001,0.000265461,0.010177295,1,ZDB-GENE-031018-2,ENSDARG00000101406,335629
ENSDARG00000011934,gyg1a,glycogenin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2910],protein_coding,0.26441376899999997,4.199142384,0.000271144,0.010316150999999999,1,ZDB-GENE-040426-2910,ENSDARG00000011934,406831
ENSDARG00000111084,BX119909.3, ,protein_coding,4.216948973,4.240708038,0.000271495,0.010324715,1,undef,ENSDARG00000111084,undef
