ncbi_id,gene_name,flag_functional
795901,treh,True
406428,pdhb,True
406702,pdha1a,True
436672,pdha1b,True
550460,hexa,True
323613,hexb,True
553722,gba3,True
100536353,ganc,True
100148922,si,True
100002366,gaa,True
84039,bco1,True
393580,bco1l,True
550338,alad,True
559020,ptgs2b,True
246226,ptgs1,True
246227,ptgs2a,True
84702,cp,True
394129,hmbsa,True
338290,hmbsb,True
100005551,entpd3,True
445151,entpd1,True
436652,entpd8,True
445069,ntpcr,True
64609,atp1a2a,True
64612,atp1a1a.1,True
64610,atp1a3a,True
64611,atp1a3b,True
64616,atp1a1b,True
100038785,zgc:163069,True
337583,atp6v1ab,True
554135,atp5b,True
394110,atp6v1aa,True
325704,asna1,True
563932,atp10b,True
368385,atp11c,True
571658,atp10d,True
567172,atp10a,True
568160,atp9b,True
100148342,atp8b1,True
562925,atp11a,True
559291,atp8b4,True
100330943,atp8a2,True
559080,cftr,True
405851,spast,True
492790,katnal1,True
553631,katna1,True
564924,atp7a,True
556499,atp7b,True
568265,atp2a2b,True
558525,atp2b3b,True
568671,atp2a3,True
393940,atp2a2a,True
557430,atp2b2,True
562640,si:dkey-28b4.8,True
378746,atp2b1a,True
494489,atp2a1l,True
260440,atp2a1,True
554200,nsfb,True
368483,nsfa,True
560807,adcy6b,True
571825,adcy3a,True
560719,si:dkey-206f10.1,True
568726,adcy7,True
557026,adcy1a,True
100148976,adcy8,True
563724,adcy2a,True
569499,adcy1b,True
557902,adcy2b,True
570652,adcy6a,True
560410,si:ch211-132f19.7,True
562619,adcy5,True
553685,cyb5r4,True
336553,cyb5r1,True
751641,cyb5r2,True
324560,cyb5r3,True
562399,enpp1,True
550370,nudt12,True
550242,nadka,True
562771,nadkb,True
404036,nos2a,True
60658,nos1,True
563654,nos2b,True
406619,nnt,True
553575,gsr,True
394170,nme4,True
335716,nme2a,True
58120,nme6,True
30086,nme7,True
30084,nme2b.2,True
30085,nme3,True
30083,nme2b.1,True
406590,ak4,True
415208,zgc:86811,True
321793,ak2,True
445486,ak1,True
504040,ak7b,True
553671,ak8,True
100003595,ak5,True
447838,coasy,True
569989,ca5a,True
387526,ca2,True
550233,ca8,True
555196,ca4a,True
564201,ca7,True
566612,ca9,True
30331,cahz,True
567897,ca14,True
336257,nmnat2,True
572070,si:ch73-170l17.1,True
550322,nmnat1,True
555623,cps1,True
436692,entpd4,True
406558,cant1a,True
556849,entpd5a,True
445201,cant1b,True
550560,entpd6,True
406404,ak3,True
406383,cmpk,True
570478,cmpk2,True
445492,flad1,True
561030,pdxp,True
799638,phospho2,True
564697,pdxkb,True
791775,pdxka,True
323329,mat2aa,True
791612,mat2ab,True
678634,mat2al,True
541347,mat2b,True
334195,mat1a,True
792097,amd1,True
333997,ampd3b,True
571355,ampd2b,True
393867,ampd1,True
556578,ampd3a,True
393906,nt5e,True
321720,nt5c3a,True
557972,nt5c2b,True
324845,nt5c2a,True
561683,nt5c1bb,True
799449,nt5c1ab,True
436595,nudt2,True
368220,adka,True
322229,adkb,True
474325,dck,True
541538,zgc:110540,True
393713,fhit,True
798974,nadsyn1,True
393641,aprt,True
561338,pde11a,True
564465,pde1a,True
394077,pde10a,True
567051,pde3a,True
563432,pde3b,True
394240,ahcyl2,True
798918,ahcyl1,True
791167,zgc:158222,True
387530,ahcy,True
334208,ldhd,True
114551,pklr,True
445094,pkmb,True
335817,pkma,True
324201,dlat,True
445233,me2,True
492719,me3,True
768196,me1,True
100037349,mlycd,True
436914,acss2,True
560020,acss2l,True
541435,acss1,True
445290,acat1,True
30643,acat2,True
557186,aldh18a1,True
373092,glud1b,True
317737,glud1a,True
394133,aldh4a1,True
100000775,glula,True
336473,glulb,True
566165,glulc,True
266992,cad,True
564147,glsa,True
564746,glsb,True
799963,gpt2,True
403086,gpt2l,True
100148522,si:ch211-217a12.1,True
557716,nags,True
550403,gad2,True
378441,gad1b,True
368239,aldh2.2,True
100000026,aldh3a1,True
492710,aldh16a1,True
393462,aldh2.1,True
100005587,aldh9a1a.1,True
323653,aldh3a2a,True
334197,aldh7a1,True
399481,aldh9a1b,True
447920,aldh3a2b,True
386951,idh2,True
100006589,idh1,True
402904,nit2,True
352926,gpx1a,True
552981,gpx7,True
798788,gpx3,True
402868,pnpo,True
116991,ugdh,True
559149,nudt14,True
334420,ugp2b,True
555748,ugp2a,True
678540,gale,True
373082,gys2,True
406791,hk1,True
406339,hk2,True
321224,hkdc1,True
58215,fech,True
571263,acyp1,True
393697,guk1b,True
415216,guk1a,True
406525,dnm2b,True
100307098,dnm1a,True
559334,dnm2a,True
566871,si:dkey-32e23.4,True
393896,dnm1l,True
406405,mdh2,True
335715,mdh1ab,True
399662,mdh1aa,True
58068,pcxb,True
322339,cs,True
436922,aclya,True
406330,got1,True
406688,got2a,True
335974,got2b,True
337166,si:dkey-40g16.6,True
565385,zgc:172341,True
402994,dao.3,True
405800,dao.2,True
619259,dao.1,True
403338,gnmt,True
436603,agxta,True
619269,agxt2,True
402822,gcat,True
406325,acaa2,True
336606,hadhb,True
431754,acaa1,True
406299,sucla2,True
436850,suclg1,True
317746,suclg2,True
442923,oxct1a,True
560273,oxct1b,True
393857,gne,True
322513,uap1,True
393264,uap1l1,True
557834,itpa,True
64263,gch2,True
378727,pck1,True
406473,pck2,True
557191,gucy1b2,True
560653,npr1a,True
550420,gucy1a3,True
100330875,gucy1a2,True
140425,gc2,True
140424,gucy2f,True
100150304,gucy1b3,True
568219,si:ch73-139e5.4,True
402827,hao1,True
393455,hao2,True
394138,asns,True
100124594,aspg,True
557232,aspa,True
100002145,si:ch73-337l15.2,True
100333757,ggt5b,True
569014,ggt1b,True
566746,ggt1l2.2,True
450084,gss,True
768123,b4galt1l,True
550425,b4galt1,True
100148828,b4galt2,True
436627,bpnt1,True
641570,impad1,True
777719,papss2a,True
80939,papss2b,True
559488,papss1,True
327057,uck2b,True
100005763,uck2a,True
447928,uck1,True
563597,si:ch211-243j20.2,True
558466,uckl1b,True
558758,acp6,True
406801,acp5a,True
436725,acp5b,True
541489,acp1,True
503759,acp2,True
560915,rfk,True
570368,arg1,True
322614,arg2,True
266799,gatm,True
322089,ctps1a,True
606663,psph,True
393778,prdx6,True
30068,cat,True
394103,sardh,True
450054,tpk1,True
100048920,thtpa,True
797715,ogdhb,True
564552,ogdha,True
559207,ogdhl,True
116517,adh5,True
282559,aldh3b1,True
557008,aldh3b2,True
751785,aldh1a3,True
337599,zgc:172121,True
402874,eno2,True
378963,eno3,True
334116,eno1a,True
393668,eno1b,True
572518,oat,True
393970,acy1,True
114426,odc1,True
100008541,tdo2a,True
334082,tdo2b,True
406651,ddc,True
571911,fdft1,True
436747,ldhbb,True
30497,ldhba,True
30496,ldha,True
436647,aldh6a1,True
550579,idh3g,True
393926,idh3a,True
415247,idh3b,True
565235,aldh5a1,True
556229,aass,True
30207,tyr,True
445326,akr1a1a,True
799805,akr1a1b,True
431723,tha1,True
445505,fbp2,True
