"ensembl_id","ensembl_gene_id","gene_name","gene_biotype","entrezid","description"
"ENSDARG00000000001","ENSDARG00000000001","slc35a5","protein_coding",368418,"solute carrier family 35, member A5 [Source:ZFIN;Acc:ZDB-GENE-030616-55]"
"ENSDARG00000000002","ENSDARG00000000002","ccdc80","protein_coding",368419,"coiled-coil domain containing 80 [Source:ZFIN;Acc:ZDB-GENE-030616-56]"
"ENSDARG00000000018","ENSDARG00000000018","nrf1","protein_coding",64604,"nuclear respiratory factor 1 [Source:ZFIN;Acc:ZDB-GENE-001221-1]"
"ENSDARG00000000019","ENSDARG00000000019","ube2h","protein_coding",368425,"ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-030616-67]"
"ENSDARG00000000068","ENSDARG00000000068","slc9a3r1a","protein_coding",327272,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-031006-7]"
"ENSDARG00000000069","ENSDARG00000000069","dap","protein_coding",58093,"death-associated protein [Source:ZFIN;Acc:ZDB-GENE-000511-3]"
"ENSDARG00000000086","ENSDARG00000000086","itsn1","protein_coding",368504,"intersectin 1 (SH3 domain protein) [Source:ZFIN;Acc:ZDB-GENE-030616-226]"
"ENSDARG00000000103","ENSDARG00000000103","myh10","protein_coding",555454,"myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]"
"ENSDARG00000000142","ENSDARG00000000142","tmem267","protein_coding",368645,"transmembrane protein 267 [Source:ZFIN;Acc:ZDB-GENE-030616-546]"
"ENSDARG00000000151","ENSDARG00000000151","thraa","protein_coding",30670,"thyroid hormone receptor alpha a [Source:ZFIN;Acc:ZDB-GENE-990415-263]"
"ENSDARG00000000161","ENSDARG00000000161","itsn2a","protein_coding",566412,"intersectin 2a [Source:ZFIN;Acc:ZDB-GENE-041014-84]"
"ENSDARG00000000175","ENSDARG00000000175","hoxb2a","protein_coding",30338,"homeobox B2a [Source:ZFIN;Acc:ZDB-GENE-990415-103]"
"ENSDARG00000000183","ENSDARG00000000183","ptpn4b","protein_coding",407634,"protein tyrosine phosphatase, non-receptor type 4b [Source:ZFIN;Acc:ZDB-GENE-030131-6259]"
"ENSDARG00000000189","ENSDARG00000000189","sema6e","protein_coding",556743,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E [Source:ZFIN;Acc:ZDB-GENE-040724-119]"
"ENSDARG00000000212","ENSDARG00000000212","krt97","protein_coding",436656,"keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]"
"ENSDARG00000000229","ENSDARG00000000229","usp49","protein_coding",559473,"ubiquitin specific peptidase 49 [Source:ZFIN;Acc:ZDB-GENE-050208-484]"
"ENSDARG00000000241","ENSDARG00000000241","slc40a1","protein_coding",58153,"solute carrier family 40 (iron-regulated transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-000511-8]"
"ENSDARG00000000324","ENSDARG00000000324","dcaf8","protein_coding",100007924,"DDB1 and CUL4 associated factor 8 [Source:ZFIN;Acc:ZDB-GENE-070912-578]"
"ENSDARG00000000349","ENSDARG00000000349","cfap300","protein_coding",497149,"cilia and flagella associated protein 300 [Source:ZFIN;Acc:ZDB-GENE-040724-203]"
"ENSDARG00000000369","ENSDARG00000000369","prkag3b","protein_coding",678619,"protein kinase, AMP-activated, gamma 3b non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-060421-6938]"
"ENSDARG00000000370","ENSDARG00000000370","triob","protein_coding",368847,"trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]"
"ENSDARG00000000380","ENSDARG00000000380","pde6a","protein_coding",368410,"phosphodiesterase 6A, cGMP-specific, rod, alpha [Source:ZFIN;Acc:ZDB-GENE-030616-42]"
"ENSDARG00000000394","ENSDARG00000000394","matr3l1.1","protein_coding",556290,"matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]"
"ENSDARG00000000423","ENSDARG00000000423","si:ch73-314g15.3","protein_coding",368688,"si:ch73-314g15.3 [Source:ZFIN;Acc:ZDB-GENE-030616-19]"
